"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",11.3365079365079,8.97026189068653,10,6.57608210250475,5.2034699754548,3780,189,"Run17"
"MWROW20-60",11.0461538461538,8.34013607937456,10,6.40765348695043,4.83794656266289,2600,130,"Run17"
"MWROW5-20",8.35037037037037,7.11848271467467,6,4.84388327070617,4.12928981650599,2700,135,"Run17"
"MWROW1-5",4.96470588235294,4.7463845282452,4,2.87992684166886,2.75328297943338,1020,51,"Run17"
"Grass/Pasure",61.288,63.2021918607258,40,35.5519461685713,36.662330680855,500,25,"Run17"
"Corn_nonGMO",155.4,151.063562780705,113,90.1444399327107,87.6289592091798,200,10,"Run17"
"Corn",1.25,2.07896978925029,0,0.725100063808806,1.20596890147357,520,26,"Run17"
"Soybeans_nonGMO",409.5,88.7397881448902,414,237.542780903765,51.4761808369918,20,1,"Run17"
"Soybeans",1.43333333333333,2.29550976459807,0,237.542780903765,51.4761808369918,420,21,"Run17"
"Developed/Open Space/Developed/Low Intensity",3.975,5.66710169898747,2,2.305818202912,3.28737264283744,480,24,"Run17"
"Other",0.8,1.4,0,0.464064040837636,0.812112071465862,160,8,"Run17"
"Forest",0.1,0.435889894354067,0,0.0580080051047044,0.252851032167798,60,3,"Run17"
"MWROW0",0,0,0,0,0,2000,100,"Run17"
"High Intensity",0,0,0,0,0,20,1,"Run17"
