"","Sum","Proportion"
"Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow",4341,0.00280064516129032
"Blank_/Developed/Med Intensity/Developed/High Intensity",37962,0.0244916129032258
"Corn",183240,0.11821935483871
"Corn_nonGMO",178203,0.114969677419355
"Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other",13605,0.00877741935483871
"Developed/Open Space/Developed/Low Intensity",77309,0.0498767741935484
"Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands",48451,0.0312587096774194
"Grass/Pasture",254844,0.164415483870968
"MWROW0",26173,0.0168858064516129
"MWROW1-5",30432,0.0196335483870968
"MWROW20-60",142951,0.0922264516129032
"MWROW5-20",134492,0.0867690322580645
"MWROW60-100",203857,0.13152064516129
"RailroadROW",19571,0.0126264516129032
"Soybeans",154318,0.09956
"Soybeans_nonGMO",40005,0.0258096774193548
"Wetlands/Herbaceous Wetlands",246,0.000158709677419355
