"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,20.726,8.61794198170306,29.274,8.61794198170306
"2",2,21.462,7.96006005002475,26.538,7.96006005002475
"3",3,20.274,7.57950684411592,25.726,7.57950684411592
"4",4,19.4,7.46458304260861,24.6,7.46458304260861
"5",5,18.088,7.30371521898273,23.912,7.30371521898273
"6",6,17.29,6.90419437733325,22.71,6.90419437733325
"7",7,16.242,6.88428907004928,21.758,6.88428907004928
"8",8,15.028,6.32891902302439,20.972,6.32891902302439
"9",9,13.826,6.0661127585959,20.174,6.0661127585959
"10",10,12.536,5.65125685135617,19.464,5.65125685135617
